n,Heap Sort,Bubble Sort,Insertion Sort,Selection Sort
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
2,0,1,0,1
2,0,1,0,1
2,1,1,0,1
3,1,3,0,3
3,1,3,0,3
3,3,3,0,3
4,4,6,0,6
4,1,6,0,6
4,5,6,0,6
5,5,10,0,10
5,4,10,0,10
5,7,10,0,10
6,7,15,0,15
6,4,15,0,15
6,10,15,0,15
7,7,21,0,21
7,5,21,0,21
7,13,21,0,21
8,10,28,0,28
8,8,28,0,28
8,14,28,0,28
9,10,36,0,36
9,9,36,0,36
9,16,36,0,36
10,14,45,0,45
10,9,45,0,45
10,19,45,0,45
11,15,55,0,55
11,10,55,0,55
11,21,55,0,55
12,22,66,0,66
12,12,66,0,66
12,23,66,0,66
13,21,78,0,78
13,15,78,0,78
13,26,78,0,78
14,23,91,0,91
14,15,91,0,91
14,30,91,0,91
15,24,105,0,105
15,17,105,0,105
15,33,105,0,105
16,24,120,0,120
16,18,120,0,120
16,33,120,0,120
17,27,136,0,136
17,19,136,0,136
17,35,136,0,136
18,27,153,0,153
18,20,153,0,153
18,38,153,0,153
19,31,171,0,171
19,22,171,0,171
19,40,171,0,171
20,33,190,0,190
20,24,190,0,190
20,42,190,0,190
21,33,210,0,210
21,26,210,0,210
21,44,210,0,210
22,39,231,0,231
22,27,231,0,231
22,47,231,0,231
23,38,253,0,253
23,28,253,0,253
23,49,253,0,253
24,36,276,0,276
24,30,276,0,276
24,50,276,0,276
25,46,300,0,300
25,31,300,0,300
25,53,300,0,300
26,43,325,0,325
26,32,325,0,325
26,57,325,0,325
27,46,351,0,351
27,33,351,0,351
27,60,351,0,351
28,47,378,0,378
28,34,378,0,378
28,63,378,0,378
29,52,406,0,406
29,36,406,0,406
29,66,406,0,406
30,56,435,0,435
30,38,435,0,435
30,70,435,0,435
