n,Heap Sort,Bubble Sort,Insertion Sort,Selection Sort
1,100,100,100,100
2,400,100,100,100
3,400,200,100,100
4,500,200,100,100
5,500,200,100,200
6,900,300,100,300
7,1300,600,200,300
8,1000,500,100,300
9,1200,500,100,300
10,1400,700,200,400
11,1200,700,200,300
12,1900,900,200,500
13,2400,1500,300,700
14,2400,1700,200,700
15,2600,2100,200,900
16,2900,2200,300,1100
17,2400,1600,100,800
18,2400,1700,200,900
19,2600,2000,200,900
20,3500,3400,300,1200
21,2900,2300,300,1000
22,4100,3500,200,1400
23,2900,2700,200,1200
24,4300,6400,300,1800
25,23100,4500,300,32500
26,3600,3400,300,1400
27,3400,3500,100,1400
28,3500,3800,200,1600
29,3900,4100,200,1700
30,5300,6700,400,2400
