n,Heap Sort,Bubble Sort,Insertion Sort,Selection Sort
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
2,0,1,1,1
2,0,1,1,1
2,1,1,1,1
3,1,3,2,3
3,1,3,2,3
3,3,3,2,3
4,4,6,3,6
4,1,6,3,6
4,5,6,3,6
5,5,10,4,10
5,4,10,4,10
5,7,10,4,10
6,7,15,5,15
6,4,15,5,15
6,10,15,5,15
7,7,21,6,21
7,5,21,6,21
7,13,21,6,21
8,10,28,7,28
8,8,28,7,28
8,14,28,7,28
9,10,36,8,36
9,9,36,8,36
9,16,36,8,36
10,14,45,9,45
10,9,45,9,45
10,19,45,9,45
11,15,55,10,55
11,10,55,10,55
11,21,55,10,55
12,22,66,11,66
12,12,66,11,66
12,23,66,11,66
13,21,78,12,78
13,15,78,12,78
13,26,78,12,78
14,23,91,13,91
14,15,91,13,91
14,30,91,13,91
15,24,105,14,105
15,17,105,14,105
15,33,105,14,105
16,24,120,15,120
16,18,120,15,120
16,33,120,15,120
17,27,136,16,136
17,19,136,16,136
17,35,136,16,136
18,27,153,17,153
18,20,153,17,153
18,38,153,17,153
19,31,171,18,171
19,22,171,18,171
19,40,171,18,171
20,33,190,19,190
20,24,190,19,190
20,42,190,19,190
21,33,210,20,210
21,26,210,20,210
21,44,210,20,210
22,39,231,21,231
22,27,231,21,231
22,47,231,21,231
23,38,253,22,253
23,28,253,22,253
23,49,253,22,253
24,36,276,23,276
24,30,276,23,276
24,50,276,23,276
25,46,300,24,300
25,31,300,24,300
25,53,300,24,300
26,43,325,25,325
26,32,325,25,325
26,57,325,25,325
27,46,351,26,351
27,33,351,26,351
27,60,351,26,351
28,47,378,27,378
28,34,378,27,378
28,63,378,27,378
29,52,406,28,406
29,36,406,28,406
29,66,406,28,406
30,56,435,29,435
30,38,435,29,435
30,70,435,29,435
